period,test_date,stock_id,model_name,predicted_value,actual_value,error_percentage,error_absolute
1,2012-12,8299,Prophet,2862137113.8799567,2435207000.0,17.531573861275724,426930113.8799567
2,2013-01,8299,Prophet,2810296962.772703,2379656000.0,18.09677376783464,430640962.7727032
3,2013-02,8299,Prophet,2680862238.200182,1904292000.0,40.77999793099913,776570238.200182
4,2013-03,8299,Prophet,2366307849.079004,2829897000.0,16.38183831146491,463589150.9209962
5,2013-04,8299,Prophet,2448145670.7035694,2655632000.0,7.813067823268834,207486329.2964306
6,2013-05,8299,Prophet,2485046180.7565536,3021958000.0,17.767017914989104,536911819.2434464
7,2013-06,8299,Prophet,2641350800.078547,2620416000.0,0.7989113208951175,20934800.078547
8,2013-07,8299,Prophet,2633022911.4442463,3032704000.0,13.179033910192148,399681088.5557537
9,2013-08,8299,Prophet,2712981048.732489,2678439000.0,1.2896335788303974,34542048.73248911
10,2013-09,8299,Prophet,2704155998.3105044,2688611000.0,0.578179525059759,15544998.310504436
11,2013-10,8299,Prophet,2702981210.9480724,2986999000.0,9.50846615790389,284017789.05192757
12,2013-11,8299,Prophet,2743485262.01243,2839349000.0,3.376257655806659,95863737.98756981
13,2013-12,8299,Prophet,2790391599.70677,2536378000.0,10.014816391987706,254013599.70676994
14,2014-01,8299,Prophet,2728617308.3040714,2624079000.0,3.9838094929333843,104538308.30407143
15,2014-02,8299,Prophet,2716542087.3847156,2367984000.0,14.719613282214558,348558087.38471556
16,2014-03,8299,Prophet,2662660334.203202,2709271000.0,1.7204135650069052,46610665.79679823
17,2014-04,8299,Prophet,2664659889.5333266,2594411000.0,2.7077008821395925,70248889.53332663
18,2014-05,8299,Prophet,2657091934.917742,2770956000.0,4.109197875471795,113864065.08225822
19,2014-06,8299,Prophet,2667511614.226757,2722511000.0,2.020171296764015,54999385.77324295
20,2014-07,8299,Prophet,2676737359.4754987,3049473000.0,12.222952638849446,372735640.5245013
21,2014-08,8299,Prophet,2714658084.8560953,2789293000.0,2.6757646164782503,74634915.14390469
22,2014-09,8299,Prophet,2723397267.9487004,2678980000.0,1.657991771073335,44417267.94870043
23,2014-10,8299,Prophet,2720077580.717931,3120819000.0,12.840905521341329,400741419.2820692
24,2014-11,8299,Prophet,2781853492.4395075,2911902000.0,4.4661017973988315,130048507.56049252
25,2014-12,8299,Prophet,2813372717.7247357,2735019000.0,2.864832665686627,78353717.72473574
26,2015-01,8299,Prophet,2806446233.0365405,2843731000.0,1.3111214444495451,37284766.96345949
27,2015-02,8299,Prophet,2821419795.4856744,2631357000.0,7.222995415889002,190062795.48567438
28,2015-03,8299,Prophet,2789473560.322793,2866389000.0,2.6833566440984455,76915439.677207
29,2015-04,8299,Prophet,2808052307.0908437,2889796000.0,2.8287011577687946,81743692.90915632
30,2015-05,8299,Prophet,2833560981.8522015,2811290000.0,0.7921979536867937,22270981.85220146
31,2015-06,8299,Prophet,2833855752.4157114,2741071000.0,3.3849817248700016,92784752.4157114
32,2015-07,8299,Prophet,2823873787.7993374,3317290000.0,14.874075290392538,493416212.2006626
33,2015-08,8299,Prophet,2923274915.930413,3225471000.0,9.369052893967648,302196084.06958723
34,2015-09,8299,Prophet,2993849415.8289104,3491055000.0,14.242273014062787,497205584.17108965
35,2015-10,8299,Prophet,3102342176.096919,4170476000.0,25.611796444892164,1068133823.9030809
36,2015-11,8299,Prophet,3341197942.904459,3227037000.0,3.537639726611718,114160942.904459
37,2015-12,8299,Prophet,3391724631.286926,2963140000.0,14.463867089875126,428584631.2869258
38,2016-01,8299,Prophet,3319392899.706864,3120529000.0,6.372762429282468,198863899.70686388
39,2016-02,8299,Prophet,3335425526.82007,3091855000.0,7.877812084333508,243570526.8200698
40,2016-03,8299,Prophet,3320149406.349125,3694002000.0,10.120530353012128,373852593.6508751
41,2016-04,8299,Prophet,3428549071.8207216,3835798000.0,10.617058775756137,407248928.1792784
42,2016-05,8299,Prophet,3571469383.6284933,3190326000.0,11.946847551895742,381143383.6284933
43,2016-06,8299,Prophet,3538676996.963605,3430814000.0,3.1439476743304917,107862996.96360493
44,2016-07,8299,Prophet,3562020595.5943565,3788741000.0,5.984056561418251,226720404.40564346
45,2016-08,8299,Prophet,3644411410.1976113,4445990000.0,18.02924859935332,801578589.8023887
46,2016-09,8299,Prophet,3850049712.38016,4102626000.0,6.156454125231988,252576287.61984015
47,2016-10,8299,Prophet,3955297653.6773453,4176802000.0,5.303204373170065,221504346.32265472
48,2016-11,8299,Prophet,4040276429.672287,3837687000.0,5.278946137928575,202589429.672287
49,2016-12,8299,Prophet,4068633482.8422318,3067342000.0,32.64362053016037,1001291482.8422318
50,2017-01,8299,Prophet,3953074756.7385707,3147077000.0,25.61099575061464,805997756.7385707
51,2017-02,8299,Prophet,3873103491.4855404,2779274000.0,39.35666262072542,1093829491.4855404
52,2017-03,8299,Prophet,3743248962.709729,3629516000.0,3.1335572762244106,113732962.7097292
53,2017-04,8299,Prophet,3752748556.787559,3356656000.0,11.800212973493828,396092556.78755903
54,2017-05,8299,Prophet,3697106564.080857,3492154000.0,5.868944040865804,204952564.0808568
55,2017-06,8299,Prophet,3673176892.363026,3643683000.0,0.8094527532451682,29493892.363026142
56,2017-07,8299,Prophet,3685860655.567207,3627165000.0,1.6182240280551576,58695655.56720686
57,2017-08,8299,Prophet,3685805044.9386687,3606489000.0,2.1992593056201954,79316044.93866873
58,2017-09,8299,Prophet,3670744198.591549,3939973000.0,6.833265136802995,269228801.4084511
59,2017-10,8299,Prophet,3711448426.8031735,3741271000.0,0.7971241109458913,29822573.196826458
60,2017-11,8299,Prophet,3710541747.9901075,3896275000.0,4.766944119957972,185733252.00989246
61,2017-12,8299,Prophet,3755653153.18103,3005226000.0,24.970739411313154,750427153.1810298
62,2018-01,8299,Prophet,3625909401.836256,3065076000.0,18.297536564713436,560833401.836256
63,2018-02,8299,Prophet,3519269297.2110796,2731663000.0,28.832483992757513,787606297.2110796
64,2018-03,8299,Prophet,3359545988.3350816,3502814000.0,4.09008333485359,143268011.66491842
65,2018-04,8299,Prophet,3363776187.3049417,3518011000.0,4.384148107980855,154234812.69505835
66,2018-05,8299,Prophet,3370611113.5917506,3459047000.0,2.5566546626353843,88435886.40824938
67,2018-06,8299,Prophet,3365823681.4176664,3352088000.0,0.4097649410655817,13735681.417666435
68,2018-07,8299,Prophet,3335110087.041293,3569800000.0,6.574315450689307,234689912.95870686
69,2018-08,8299,Prophet,3357150524.6170487,3905980000.0,14.051005775322741,548829475.3829513
70,2018-09,8299,Prophet,3436858965.387345,3561053000.0,3.48756490320855,124194034.61265516
71,2018-10,8299,Prophet,3440196976.1223707,3606644000.0,4.615011181520252,166447023.87762928
72,2018-11,8299,Prophet,3466961487.531396,3554055000.0,2.4505392423191,87093512.46860409
73,2018-12,8299,Prophet,3481270024.111753,2961874000.0,17.53606075450046,519396024.111753
74,2019-01,8299,Prophet,3410631609.0495806,3358464000.0,1.5533175001899848,52167609.049580574
75,2019-02,8299,Prophet,3399589371.198733,2710307000.0,25.431892815047625,689282371.1987329
76,2019-03,8299,Prophet,3312529570.9913197,3274245000.0,1.1692640896243152,38284570.99131966
77,2019-04,8299,Prophet,3282547364.953768,3084400000.0,6.424178606982485,198147364.95376778
