period,test_date,stock_id,model_name,predicted_value,actual_value,error_percentage,error_absolute
1,2012-12,8299,XGBoost,2726237440.0,2435207000.0,11.950952834810346,291030440.0
2,2013-01,8299,XGBoost,2620862208.0,2379656000.0,10.136179683113863,241206208.0
3,2013-02,8299,XGBoost,2519105792.0,1904292000.0,32.2856889594663,614813792.0
4,2013-03,8299,XGBoost,2174454016.0,2829897000.0,23.16137244571092,655442984.0
5,2013-04,8299,XGBoost,2667934720.0,2655632000.0,0.4632690071515933,12302720.0
6,2013-05,8299,XGBoost,2310456320.0,3021958000.0,23.544393403217384,711501680.0
7,2013-06,8299,XGBoost,2215447552.0,2620416000.0,15.45435717076983,404968448.0
8,2013-07,8299,XGBoost,2541479424.0,3032704000.0,16.197577343519182,491224576.0
9,2013-08,8299,XGBoost,2978932480.0,2678439000.0,11.218977919601679,300493480.0
10,2013-09,8299,XGBoost,2806801152.0,2688611000.0,4.39595582998061,118190152.0
11,2013-10,8299,XGBoost,2752902912.0,2986999000.0,7.83716660099317,234096088.0
12,2013-11,8299,XGBoost,2919442176.0,2839349000.0,2.8208288590095827,80093176.0
13,2013-12,8299,XGBoost,2793038592.0,2536378000.0,10.119177504299438,256660592.0
14,2014-01,8299,XGBoost,2599948032.0,2624079000.0,0.9195976188216894,24130968.0
15,2014-02,8299,XGBoost,2587633152.0,2367984000.0,9.2757869985608,219649152.0
16,2014-03,8299,XGBoost,2470958592.0,2709271000.0,8.79618199877384,238312408.0
17,2014-04,8299,XGBoost,2981372672.0,2594411000.0,14.915203180991753,386961672.0
18,2014-05,8299,XGBoost,2563015936.0,2770956000.0,7.504271594352274,207940064.0
19,2014-06,8299,XGBoost,2859959808.0,2722511000.0,5.048604321525239,137448808.0
20,2014-07,8299,XGBoost,2795127296.0,3049473000.0,8.340644563831193,254345704.0
21,2014-08,8299,XGBoost,3029996800.0,2789293000.0,8.629563118682764,240703800.0
22,2014-09,8299,XGBoost,2870723584.0,2678980000.0,7.157335403773078,191743584.0
23,2014-10,8299,XGBoost,2959694080.0,3120819000.0,5.162904993849371,161124920.0
24,2014-11,8299,XGBoost,2931607808.0,2911902000.0,0.6767332142359186,19705808.0
25,2014-12,8299,XGBoost,2876271872.0,2735019000.0,5.1646029515699885,141252872.0
26,2015-01,8299,XGBoost,2733606912.0,2843731000.0,3.8725212757465455,110124088.0
27,2015-02,8299,XGBoost,2709921280.0,2631357000.0,2.985694453470206,78564280.0
28,2015-03,8299,XGBoost,2517890560.0,2866389000.0,12.158099964798916,348498440.0
29,2015-04,8299,XGBoost,2992594688.0,2889796000.0,3.557299131149742,102798688.0
30,2015-05,8299,XGBoost,2705351936.0,2811290000.0,3.768307929811581,105938064.0
31,2015-06,8299,XGBoost,2755006720.0,2741071000.0,0.5084041967537506,13935720.0
32,2015-07,8299,XGBoost,2844553984.0,3317290000.0,14.250668949654688,472736016.0
33,2015-08,8299,XGBoost,2992460288.0,3225471000.0,7.224083304422827,233010712.0
34,2015-09,8299,XGBoost,2856886784.0,3491055000.0,18.165517758958252,634168216.0
35,2015-10,8299,XGBoost,2846209536.0,4170476000.0,31.753364939637585,1324266464.0
36,2015-11,8299,XGBoost,2849905152.0,3227037000.0,11.686629189563059,377131848.0
37,2015-12,8299,XGBoost,2863171840.0,2963140000.0,3.3737238200017545,99968160.0
38,2016-01,8299,XGBoost,2726378240.0,3120529000.0,12.630895594945601,394150760.0
39,2016-02,8299,XGBoost,2795119360.0,3091855000.0,9.597333639514142,296735640.0
40,2016-03,8299,XGBoost,2760404992.0,3694002000.0,25.2733216711848,933597008.0
41,2016-04,8299,XGBoost,2945747712.0,3835798000.0,23.20378414087499,890050288.0
42,2016-05,8299,XGBoost,2901938688.0,3190326000.0,9.039430829325907,288387312.0
43,2016-06,8299,XGBoost,2815930112.0,3430814000.0,17.92239066297386,614883888.0
44,2016-07,8299,XGBoost,2828286976.0,3788741000.0,25.350215916052328,960454024.0
45,2016-08,8299,XGBoost,2916546560.0,4445990000.0,34.400514621040536,1529443440.0
46,2016-09,8299,XGBoost,2945565952.0,4102626000.0,28.20291315854772,1157060048.0
47,2016-10,8299,XGBoost,3088611072.0,4176802000.0,26.05320836371942,1088190928.0
48,2016-11,8299,XGBoost,3304154624.0,3837687000.0,13.902446343331281,533532376.0
49,2016-12,8299,XGBoost,4043611136.0,3067342000.0,31.827854083437714,976269136.0
50,2017-01,8299,XGBoost,3879305472.0,3147077000.0,23.266938559177294,732228472.0
51,2017-02,8299,XGBoost,3449624320.0,2779274000.0,24.119619728029697,670350320.0
52,2017-03,8299,XGBoost,3320102912.0,3629516000.0,8.524913184016821,309413088.0
53,2017-04,8299,XGBoost,3337592576.0,3356656000.0,0.5679290341339714,19063424.0
54,2017-05,8299,XGBoost,3739646976.0,3492154000.0,7.087115173042196,247492976.0
55,2017-06,8299,XGBoost,3791769856.0,3643683000.0,4.06420800053133,148086856.0
56,2017-07,8299,XGBoost,3812246016.0,3627165000.0,5.102635694819508,185081016.0
57,2017-08,8299,XGBoost,3795777024.0,3606489000.0,5.248540173004825,189288024.0
58,2017-09,8299,XGBoost,3513878016.0,3939973000.0,10.814667613204456,426094984.0
59,2017-10,8299,XGBoost,4118987008.0,3741271000.0,10.095927506988934,377716008.0
60,2017-11,8299,XGBoost,3934644992.0,3896275000.0,0.9847865461241827,38369992.0
61,2017-12,8299,XGBoost,4092142592.0,3005226000.0,36.16754919596729,1086916592.0
62,2018-01,8299,XGBoost,3775015424.0,3065076000.0,23.162212747742633,709939424.0
63,2018-02,8299,XGBoost,3861577728.0,2731663000.0,41.36362091517146,1129914728.0
64,2018-03,8299,XGBoost,2915844608.0,3502814000.0,16.75708136372642,586969392.0
65,2018-04,8299,XGBoost,3661247232.0,3518011000.0,4.071511771850629,143236232.0
66,2018-05,8299,XGBoost,3894164224.0,3459047000.0,12.579107019939306,435117224.0
67,2018-06,8299,XGBoost,3840258304.0,3352088000.0,14.563170895274826,488170304.0
68,2018-07,8299,XGBoost,3755319296.0,3569800000.0,5.196910078996022,185519296.0
69,2018-08,8299,XGBoost,3758956544.0,3905980000.0,3.7640606454718153,147023456.0
70,2018-09,8299,XGBoost,3751597312.0,3561053000.0,5.3507856243644785,190544312.0
71,2018-10,8299,XGBoost,4028207872.0,3606644000.0,11.688535713533135,421563872.0
72,2018-11,8299,XGBoost,3980804608.0,3554055000.0,12.007400223125416,426749608.0
73,2018-12,8299,XGBoost,3611976704.0,2961874000.0,21.949033078382133,650102704.0
74,2019-01,8299,XGBoost,3243894784.0,3358464000.0,3.4113575729857457,114569216.0
75,2019-02,8299,XGBoost,3267658240.0,2710307000.0,20.564136830255762,557351240.0
76,2019-03,8299,XGBoost,2872003072.0,3274245000.0,12.285028395859197,402241928.0
77,2019-04,8299,XGBoost,3513305856.0,3084400000.0,13.905649591492672,428905856.0
78,2019-05,8299,XGBoost,3036738560.0,3355208000.0,9.491794249417621,318469440.0
79,2019-06,8299,XGBoost,3476095232.0,3343520000.0,3.965139493707231,132575232.0
80,2019-07,8299,XGBoost,3600277760.0,4062819000.0,11.384736558532389,462541240.0
81,2019-08,8299,XGBoost,3676733952.0,4272747000.0,13.9491771452885,596013048.0
82,2019-09,8299,XGBoost,4112322816.0,4058337000.0,1.3302447776022543,53985816.0
83,2019-10,8299,XGBoost,4184398080.0,4697324000.0,10.919534611621426,512925920.0
84,2019-11,8299,XGBoost,4114767616.0,4380889000.0,6.074597735756373,266121384.0
85,2019-12,8299,XGBoost,3846677248.0,4095181000.0,6.06819947640898,248503752.0
86,2020-01,8299,XGBoost,3325719808.0,3325942000.0,0.006680573503687076,222192.0
87,2020-02,8299,XGBoost,3888502016.0,4001968000.0,2.8352546547098827,113465984.0
88,2020-03,8299,XGBoost,3413890816.0,5538793000.0,38.363993454891705,2124902184.0
89,2020-04,8299,XGBoost,3973023232.0,3579202000.0,11.003045706836328,393821232.0
90,2020-05,8299,XGBoost,3894457344.0,3905092000.0,0.27232792466861216,10634656.0
91,2020-06,8299,XGBoost,3967004672.0,3370555000.0,17.695889015310534,596449672.0
92,2020-07,8299,XGBoost,3599053056.0,3849067000.0,6.495442765740372,250013944.0
93,2020-08,8299,XGBoost,3717563392.0,3743807000.0,0.7009872036672831,26243608.0
94,2020-09,8299,XGBoost,3646647040.0,4341123000.0,15.997610756479371,694475960.0
95,2020-10,8299,XGBoost,4055510016.0,4447850000.0,8.820890632552807,392339984.0
96,2020-11,8299,XGBoost,3863931392.0,4218291000.0,8.40054913233819,354359608.0
97,2020-12,8299,XGBoost,3956387584.0,4174832000.0,5.232412130595914,218444416.0
98,2021-01,8299,XGBoost,4031237888.0,4060743000.0,0.7265939262839338,29505112.0
99,2021-02,8299,XGBoost,3863979008.0,3654613000.0,5.728814733598331,209366008.0
100,2021-03,8299,XGBoost,3957152512.0,5172594000.0,23.497716774214254,1215441488.0
101,2021-04,8299,XGBoost,4133475840.0,5090578000.0,18.80144376532488,957102160.0
102,2021-05,8299,XGBoost,5103481344.0,5696048000.0,10.403119074839257,592566656.0
103,2021-06,8299,XGBoost,4901649920.0,5123350000.0,4.327248382406043,221700080.0
104,2021-07,8299,XGBoost,4724504576.0,5482184000.0,13.820758734110347,757679424.0
105,2021-08,8299,XGBoost,4751547392.0,5706563000.0,16.735390602013855,955015608.0
106,2021-09,8299,XGBoost,4772622848.0,5737799000.0,16.821365683949544,965176152.0
107,2021-10,8299,XGBoost,4622867456.0,6036781000.0,23.421647132801404,1413913544.0
108,2021-11,8299,XGBoost,4611667968.0,5802942000.0,20.528794394291722,1191274032.0
109,2021-12,8299,XGBoost,4643201536.0,4992997000.0,7.005721493523829,349795464.0
110,2022-01,8299,XGBoost,4559464448.0,5418890000.0,15.859808041868353,859425552.0
111,2022-02,8299,XGBoost,4634008064.0,5307336000.0,12.686740315668727,673327936.0
112,2022-03,8299,XGBoost,4642283008.0,6379633000.0,27.23275762101049,1737349992.0
113,2022-04,8299,XGBoost,4825211904.0,5901725000.0,18.24065160609822,1076513096.0
114,2022-05,8299,XGBoost,4648758784.0,5099437000.0,8.837803388883911,450678216.0
115,2022-06,8299,XGBoost,4892027904.0,5284253000.0,7.422526816940824,392225096.0
116,2022-07,8299,XGBoost,5427311104.0,5342363000.0,1.5900848369906726,84948104.0
117,2022-08,8299,XGBoost,5057751040.0,4423361000.0,14.341810220780083,634390040.0
118,2022-09,8299,XGBoost,5104210432.0,4808884000.0,6.141267537332986,295326432.0
119,2022-10,8299,XGBoost,5241795072.0,4205901000.0,24.629540067633545,1035894072.0
120,2022-11,8299,XGBoost,5331099136.0,4082304000.0,30.590449314896684,1248795136.0
121,2022-12,8299,XGBoost,5453364224.0,4002055000.0,36.26409991866679,1451309224.0
122,2023-01,8299,XGBoost,5181025280.0,2878167000.0,80.01128079086446,2302858280.0
123,2023-02,8299,XGBoost,3582092288.0,3274873000.0,9.381105404698136,307219288.0
124,2023-03,8299,XGBoost,3255501824.0,3925381000.0,17.0653288432384,669879176.0
125,2023-04,8299,XGBoost,3413006848.0,3366959000.0,1.3676391069805127,46047848.0
126,2023-05,8299,XGBoost,3551067392.0,3201684000.0,10.91248830303053,349383392.0
127,2023-06,8299,XGBoost,3616995072.0,3438001000.0,5.206341475758733,178994072.0
128,2023-07,8299,XGBoost,3417797632.0,3394299000.0,0.6922970545611922,23498632.0
129,2023-08,8299,XGBoost,3523215104.0,3990403000.0,11.7077873087004,467187896.0
130,2023-09,8299,XGBoost,3776197632.0,5003863000.0,24.534352119552434,1227665368.0
131,2023-10,8299,XGBoost,4163399168.0,5158905000.0,19.296843651899,995505832.0
132,2023-11,8299,XGBoost,4360561152.0,5407270000.0,19.357436340334402,1046708848.0
133,2023-12,8299,XGBoost,4936679936.0,5181825000.0,4.730863431320047,245145064.0
134,2024-01,8299,XGBoost,5094254592.0,5086003000.0,0.16224119411648005,8251592.0
135,2024-02,8299,XGBoost,4863704064.0,4664908000.0,4.26152164201309,198796064.0
136,2024-03,8299,XGBoost,4964389888.0,6774966000.0,26.724504772422474,1810576112.0
137,2024-04,8299,XGBoost,5978527744.0,5156193000.0,15.948486489935501,822334744.0
138,2024-05,8299,XGBoost,5539905024.0,5377566000.0,3.018819741124516,162339024.0
139,2024-06,8299,XGBoost,5583767040.0,5361009000.0,4.155151390344616,222758040.0
140,2024-07,8299,XGBoost,5207785472.0,4706092000.0,10.66051135421917,501693472.0
141,2024-08,8299,XGBoost,4905516544.0,4805588000.0,2.0794238707105146,99928544.0
142,2024-09,8299,XGBoost,4993264640.0,4430879000.0,12.692417012516028,562385640.0
143,2024-10,8299,XGBoost,5041740288.0,3717027000.0,35.639054760699885,1324713288.0
144,2024-11,8299,XGBoost,4653798400.0,4333904000.0,7.381206413432323,319894400.0
145,2024-12,8299,XGBoost,4349259264.0,4521378000.0,3.806776075789284,172118736.0
146,2025-01,8299,XGBoost,4178289152.0,3613390000.0,15.633495194263558,564899152.0
147,2025-02,8299,XGBoost,4042774016.0,4527416000.0,10.704604657491162,484641984.0
148,2025-03,8299,XGBoost,4271085824.0,5697759000.0,25.03919832341101,1426673176.0
149,2025-04,8299,XGBoost,4921145856.0,6002833000.0,18.01961080709725,1081687144.0
150,2025-05,8299,XGBoost,5404324864.0,5689559000.0,5.01329076647241,285234136.0
151,2025-06,8299,XGBoost,5227665408.0,6197679000.0,15.651239633417607,970013592.0
152,2025-07,8299,XGBoost,5515103744.0,5687708000.0,3.0346891225780226,172604256.0
